I hurt her feelings;Zraniłem jej uczucia 
I fell in love with her;Zakochałem się w niej 
They loved each other very much;Bardzo się kochali 
He remained the love of her life;Pozostał miłością jej życia 
We understood each other very well;Rozumieliśmy się doskonale 
We were great friends;Bardzo się przyjaźniliśmy 
They don’t trust us;Nie mają do nas zaufania 
We don't like the English;Nie lubimy Anglików 
We all hated her father;Wszyscy nienawidziliśmy jej ojca 
We liked her well;Bardzo ją lubiliśmy 
We bred up a boy-and-girl affection;Zrodziło się między nami dziecinne uczucie 
She felt drawn towards him;Poczuła do niego sympatię 
She was trying to turn me against him;Próbowała nastawić mnie przeciwko niemu 
They had words;Doszło między nimi do ostrej wymiany zdań 
They hate each other;Nienawidzą się 
He looked daggers at me;Rzucił mi spojrzenie pełne nienawiści 
Our enemies are on the move;Nasi wrogowie nie śpią 
Poe suffered from depression;Poe cierpiał na depresję 
She fell ill with flu;Zachorowała na grypę 
The virus rarely spreads from person to person;Wirus rzadko przenosi się z człowieka na człowieka 
The bird flu vaccine is safe;Szczepionka na ptasią grypę jest bezpieczna 
The virus spreads through the air;Wirus przenosi się drogą kropelkową 
The flu causes muscle pain;Grypa powoduje ból mięśni 
The flu can kill;Grypa może zabijać 
The body's defense system produces antibodies;Układ immunologiczny produkuje przeciwciała 
There were two other flu pandemics in the twentieth century;W dwudziestym wieku były dwie pandemie grypy 
Doctors do not know what causes asthma;Lekarze nie wiedzą co powoduje astmę 
Multiple sclerosis is different from other diseases;Stwardnienie rozsiane różni się od innych chorób 
Living with multiple sclerosis is never easy;Życie ze stwardnieniem rozsianym nie jest łatwe 
The nervous system is the main target of the disease;Układ nerwowy jest głównym celem choroby 
He is fighting for his life;Walczy o życie 
He fought cancer successfully;Wygrał walkę z rakiem 
The doctors think she won't live;Lekarze uważają że nie przeżyje 
He was sent to a mental hospital;Został wysłany do szpitala psychiatrycznego 
She had treatment with radiation;Przeszła radioterapię 
Today she feels fine;Obecnie czuje się świetnie 
They have no health insurance;Nie mają ubezpieczenia zdrowotnego 
The health care system;System opieki zdrowotnej 
There is no hope for him;Nie ma dla niego nadziei 
She seemed to get better;Wydawało się że jej stan się poprawia 
The treatments made it easier for him to breathe;Leczenie ułatwiło mu oddychanie 
He takes medicines every day;Codziennie bierze leki 
They should go to the doctor for medical examinations;Powinni chodzić do lekarza na badania 
They have problems thinking after taking drugs;Po zażyciu leków mają problem z koncentracją 
The patient must be in a hospital;Pacjent musi pozostać w szpitalu 
Aspirin thins the blood;Aspiryna rozcieńcza krew 
Doctors usually prescribe opiate drugs;Lekarze często przepisują opiaty 
She takes medicines daily;Ona codziennie bierze lekarstwa 
His leg hurts;Boli go noga 
I'm aching all over;Wszystko mnie boli 
She is very sick and weak;Jest bardzo chora i słaba 
She was unconscious for three weeks;Przez trzy tygodnie była nieprzytomna 
When she woke up she could not speak;Kiedy się obudziła nie mogła mówić 
He was paralyzed from the neck down;Był sparaliżowany od szyi w dół 
The seizure will stop on its own;Atak choroby ustąpi samoistnie 
Chronic pain may go away but it often comes back;Przewlekły ból może ustąpić ale często powraca 
The problems appear suddenly;Problemy pojawiają się nagle 
Have you had a headache recently;Czy ostatnio bolała cię głowa
He appeared in many movies;Wystąpił w wielu filmach 
The movie are based on real events;Film jest oparty na rzeczywistych wydarzeniach 
She soon started appearing in small roles;Wkrótce zaczęła pojawiać się w małych rolach 
Hollywood filmmakers became interested in her;Zainteresowali się nią holywoodzcy reżyserzy 
Her first movie came out in nineteen thirty-two;Jej pierwszy film wszedł na ekrany w 1932 
By the end of the movie;Na końcu filmu 
She liked to play the roles of strong women;Lubiła grać silne kobiety 
One of Katharine Hepburn’s most famous roles;Jedna z nasłynniejszych ról Kathariny Hepburn 
She starred in her last movie;Wystąpiła w swoim ostatnim filmie 
He died a few weeks after filming ended;Zmarł kilka tygodni po zakończeniu zdjęć do filmu 
People still enjoy her films;Ludziom nadal podobają się jej filmy 
She received an award for best actress;Otrzymała nagrodę dla najlepszej aktorki 
She received an nomination for her role in  ;Otrzymała nominację za rolę w   
She also appeared in many television programs;Pojawiała się również w wielu programach telewizyjnych 
She was very careful about choosing her roles in films;Była bardzo ostrożna przy wyborze ról w filmach 
One of the most costly movies ever made;Jeden z najdroższych filmów wszech czasów 
Elizabeth Taylor would quickly become as famous;Elizabeth Taylor szybko stała się sławna 
Her alcoholic husband is played by Paul Newman;Jej męża alkoholika zagrał Paul Newman 
Critics praised her;Krytycy ją chwalili 
She played a lonely woman;Zagrała samotną kobietę 
She hated seeing herself in the movies;Nienawidziła oglądać siebie w filmach 
She has written screenplays for movies;Napisała scenariusze do filmów 
She never thought of herself as a movie actress;Nigdy nie myślała o sobie jako aktorce filmowej 
She was not accepted in Hollywood;Nie była akceptowana w Hollywood 
I can dance and sing too;Potrafię i tańczyć i śpiewać 
She practises the piano;Ćwiczy grę na pianinie 
He gives her singing lessons;Daje jej lekcje śpiewu 
She sings in tune;Śpiewa czysto 
She plays musical instruments;Gra na instrumentach muzycznych 
One of the best known bands was Nirvana;Jednym z najbardziej znanych zespołów była Nirvana 
He began to paint;Zaczął malować 
Paintings showed normal scenes from life;Obrazy przedstawiały normalne sceny z życia 
Edward knew he wanted to be a painter;Edward wiedział że chce zostać malarzem 
This kind of painting is called commercial art;Ten rodzaj malarstwa nazywany jest sztuką komercyjną 
They liked to paint normal people;Lubili malować zwykłych ludzi 
Paint what you feel;Maluj co czujesz 
Paint what you see;Maluj co widzisz 
Paint what is real to you;Maluj co jest dla ciebie rzeczywistością 
He had a show of his work at a gallery in New York;Wystawiał swoje prace w galerii w Nowym Jorku 
Very few people bought his paintings;Tylko nieliczni kupili jego obrazy 
People were not interested in his simple realistic style;Ludzi nie interesował jego prosty realistyczny styl 
He sold many pictures;Sprzedał dużo obrazów 
He became famous for paintings that are mysterious;Zasłynął tajemniczymi obrazami 
He painted his most famous work;Namalował swoje najsłynniejsze dzieło 
The painting now hangs in a museum;Obecnie obraz wisi w muzeum 
He often painted three pictures in one day;Często malował trzy obrazy w ciągu jednego dnia 
Andy Warhol was much more than just a painter;Andy Warhol był kimś więcej niż tylko malarzem 
In the portrait he looks bigger than he was in real life;Na portrecie wygląda na wyższego niż w rzeczywistości 
He learned how to paint and sculpt;Nauczył się malować i rzeźbić 
She decided to return to the stage;Zdecydowała się powrócić na scenę 
She starred in a play called  ;Zagrała w sztuce pod tytułem   
The play was a great success;Sztuka odniosła wielki sukces 
He immediately bought the legal rights to the play;Natychmiast kupił prawa do sztuki 
She suffered from stage fright;Miała tremę 
Patricia began acting as a teenager;Zaczęła występować jako nastolatka 
Jessica's older brothers showed an interest in the theater;Starsi bracia Jessici okazywali zainteresowanie teatrem 
Jessica loved going to the theater;Jessica kochała chodzić do teatru 
She acted in many of Shakespeare's plays;Zagrała w wielu sztukach Shakespeare'a 
She performed in her first play;Po raz pierwszy zagrała w sztuce 
She continued to work in the theater in London;Nadal pracowała w londyńskim teatrze 
His mother was an actress in the local theater;Jego matka była aktorką w miejscowym teatrze 
She got only small parts;Dostawała tylko małe role 
The play is both funny and serious;Sztuka jest zabawna i poważna zarazem 
Her teacher was the well-known playwright;Jej nauczycielem był bardzo znany dramaturg 
They played to full houses;Grali dla pełnej widowni 
The play was first performed in London;Sztuka po raz pierwszy została wystawiona w Londynie 
Tonight we are going to the theatre;Wieczorem idziemy do teatru 
The performance was brilliant;Przedstawienie było świetne 
He was one of the first black writers;Był jednym z pierwszych czarnych pisarzy 
He wrote for almost fifty years;Pisał prawie przez pięćdziesiąt pięć lat 
He was famous for his descriptions of black American life;Zasłynął opisami życia czarnych Amerykanów 
His work is known all around the world;Jego dzieła są znane na całym świecie 
His work has been translated into many languages;Jego dzieła zostały przetłumaczone na wiele języków 
Hughes’s poetry had serious messages;Poezja Hughesa zawierała poważne przesłania 
He loved to write while sitting in clubs listening to blues;Kochał pisać siedząc w klubach i słuchając bluesa 
Women read more literature than men;Kobiety czytają literaturę częściej niż mężczyźni 
People discuss books over the Internet;Ludzie dyskutują o książkach w internecie 
She wrote seven books;Napisała siedem książek 
The story takes place in a small Florida town;Akcja rozgrywa się w małym mieście na Florydzie 
Her second book was published three years later;Jej druga książka została wydana trzy lata później 
She wrote the book in seven weeks;Napisała książkę w ciągu siedmiu tygodni 
It is the story of a black woman’s search for happiness;To historia Murzynki szukającej szczęścia 
She published a story about her own life;Opublikowała historię swojego życia 
She wrote more than one hundred books;Napisała ponad sto książek 
I read about it in the paper;Czytałem o tym w gazecie 
She began to write articles for newspapers and magazines;Zaczęła pisać artykuły dla gazet i czasopism 
Many people criticized the article;Wielu ludzi krytykowało artykuł 
She often appeared on television;Często występowała w telewizji 
Millions of Americans read the magazine every week;Miliony Amerykanów czytają czasopismo co tydzień 
The media often wrote about love affairs;Media często pisały o jej romansach 
Soon people all over the country were watching it;Wkrótce ludzie na całym świecie mogli to obejrzeć 
He never became president;Nigdy nie został prezydentem 
The American government was very weak;Amerykański rząd był bardzo słaby 
For the good of the nation;Dla dobra narodu 
All were loyal to Thomas Jefferson;Wszyscy byli lojalni Thomasowi Jeffersonowi 
In the first year of Jefferson’s presidency;W pierwszym roku prezydentury Jeffersona 
He reduced the number of ambassadors;Zmniejszył liczbę ambasadorów 
A period of great change;Okres wielkich zmian 
Congress approved the resolution in October;Kongres przyjął rezolucję w październiku 
He was forced to resign;Został zmuszony do rezygnacji 
He focused much of his attention on foreign policy;Wiele uwagi skupił na polityce zagranicznej 
The negotiations were completed at the end of year;Negocjacje zakończyły się pod koniec roku 
Bulgaria's biggest political party;Największa partia polityczna w Bułgarii 
He came to power in a coup;Doszedł do władzy w wyniku zamachu stanu 
The army seized power;Armia przejęła władzę 
Guinea-Bissau has a long history of coups;Gwinea-Bissau ma długą historię zamachów stanu 
The head of the party;Prezes partii 
The German Embassy has not commented on the statement;Ambasada Niemiec nie skomentowała oświadczenia 
Mr Zeman will replace the eurosceptic Vaclav Klaus;Zeman zastąpi eurosceptyka Vaclava Klausa 
He won the next election;Wygrał następne wybory 
He travelled around the state gathering support;Podróżował po całym stanie zbierając poparcie 
Political experts gave him little chance;Eksperci dawali mu małe szanse 
On the first ballot;W pierwszym głosowaniu 
The Democrats bought votes;Demokraci kupowali głosy 
This time they voted for the opposition;Tym razem zagłosowali na opozycję 
We hope for a change of government;Mamy nadzieję na zmianę rządu 
The coalition won 133 of the 222 in parliamentary seats;Koalicja uzyskała 133 z 222 miejsc w parlamencie 
41% of voters had cast their ballots;41% wyborców oddało swoje głosy 
More than 250 observers are monitoring election;Ponad 250 obserwatorów monitoruje przebieg wyborów 
The parties broke campaign silence;Partie złamały ciszę wyborczą 
He was elected president in 2009;Został wybrany na prezydenta w 2009 roku 
Pakistanis are voting in parliamentary elections;Pakistańczycy wybierają parlament 
Former PM has won the presidential election;Były premier wygrał wybory prezydenckie 
He won 55% of votes in the second-round poll;W drugiej turze otrzymał 55% głosów 
The Vietnam War is history;Wojna wietnamska to już historia 
The future of the nation looks bright;Przyszłość narodu rysuje się jasno 
The religious wars known as the Crusades;Wojny religijne znane jako krucjaty 
They established trading colonies in Africa;Założyli kolonie handlowe w Afryce 
It was the first day of America's war for independence;Była to pierwsza amerykańska wojna o niepodległość 
The Battle for Quebec was the turning point in the conflict;Bitwa o Quebec była punktem zwrotnym konfliktu 
The Soviet Union collapsed in nineteen ninety-one;Związek Radziecki rozpadł się w 1991 
It was a big event;To było wielkie wydarzenie 
German soldiers marched through France;Niemieccy żołnierze przemaszerowali przez Francję 
France was forced to sign a treaty;Francja została zmuszona do podpisaniu traktatu 
East Timor was a colony of Portugal;Timor Wschodni był portugalską kolonią 
One of Serbia's allies was Russia;Jednym z serbskich sojuszników była Rosja 
The United States had become a world power;Stany Zjednoczone stały się mocarstwem 
It is a well paid job;To dobrze płatna praca 
Unemployment is high;Bezrobocie jest wysokie 
Thousands of hotel workers lost their jobs;Tysiące pracowników hoteli straciło pracę 
During summer he worked as a lifeguard at a river;W lecie pracował jako ratownik nad rzeką 
Unemployment stands at nearly 18%;Bezrobocie pozostaje na poziomie około 18% 
White people have little chance of getting a job;Biali mają małe szanse na znalezienie pracy 
He tried to find work;Próbował znaleźć pracę 
He had problems finding work because he was black;Miał problemy ze znalezieniem pracy bo był czarny 
Millions more have stopped looking for work;Miliony osób przestały szukać pracy 
Many people lost their jobs;Dużo osób straciło pracę 
The highest paying group of jobs is in management;Najlepiej płatną pracę mają menedżerowie 
Unemployment has risen to eighteen-percent;Bezrobocie wzrosło do osiemnastu procent 
He was not happy with this work;Ta praca nie dawała mu szczęścia 
He earned a little money;Zarabiał mało pieniędzy 
She earned over one million dollars;Zarobiła ponad milion dolarów 
Inflation will grow furt;Inflacja będzie rosła 
He failed to pay income tax;Nie zapłacił podatku dochodowego 
Everyone must pay taxes;Wszyscy muszą płacić podatki 
The taxpayers will pay for it;Zapłacą za to podatnicy 
The economy is improving;Poprawia się sytuacja w gospodarce 
