aardvark;mrówkojad
abominable;wstrętny
abominably;wstrętnie
abominate;nienawidzić
abominated;abominated
abomination;wstręt
abominations;obrzydliwości
aboriginal;rodowity
aborigines;autochtoni
abort;anulować
aborted;niedonoszony
aborting;przerywanie
abortion;poronienie
abortionist;osoba trudniąca się aborcją
abortionists;aborcji
abortions;aborcji
abortive;nieudany
aborts;przerywa
abound;obfitować
abounded;obfitowały
abounding;obfitujące
abounds;obfituje
about;o
above;powyżej
abraded;przeszlifować
abraham;abraham
abrasion;przetarcie
abrasions;otarcia
abrasive;ścierny
abrasively;obrobionymi
abrasiveness;ścieralność
abrasives;ścierne
abreast;ramię przy ramieniu
abridge;ograniczać
abridged;skrócona
abridgement;skrócenie
abridging;abridging
abroad;za granicą
abrogate;unieważnić
abrogated;unieczynniały
abrogating;uchylająca
abrogation;uchylanie
abrogations;abrogations
abrupt;nagły
abruptly;nagle
abruptness;nagłość
abscess;ropień
abscesses;ropnie
abscissa;odcięta
abscissae;odciętych
abscissas;odciętych
abscond;zbiec
absconded;zbiegł
absconder;zbieg
absconding;ucieczki
absconds;ucieka
abseil;abseil
abseiled;abseiled
abseiler;abseiler
abseiling;zjazdy
abseils;zjazdach
absence;brak
absences;nieobecności
absent;nieobecny
absented;absented
absentee;bumelant
absenteeism;absencja
absentees;nieobecnych
absenting;absenting
absently;w roztargnieniu
absentminded;bujający w obłokach
absentmindedly;roztargnieniem
absentmindedness;roztargnienie
absolute;absolutny
absolutely;absolutnie
absoluteness;absolutność
absolutes;absoluty
absolution;rozgrzeszenie
absolutism;absolutyzm
absolutist;absolutysta
absolutists;absolutists
absolve;rozgrzeszać
absolved;zwolniony
absolves;rozgrzesza
absolving;absolving
absorb;absorbować
absorbed;zaabsorbowany
absorbency;chłonność
absorbent;absorbent
absorber;absorber
absorbers;amortyzatory
absorbing;absorbujący
absorbingly;absorbingly
absorbs;absorbuje
absorption;wchłanianie
absorptions;absorpcja
absorptive;chłonny
absorptivity;chłonność
abstain;wstrzymać się
abstained;wstrzymujących
abstainer;abstynent
abstainers;abstynenci
abstaining;wstrzymujących
abstains;wstrzymuje się
abstemious;wstrzemięźliwy
abstemiously;abstemiously
abstemiousness;abstemiousness
abstention;wstrzymanie się od głosu
abstentions;wstrzymujących
abstinence;abstynencja
abstinent;abstynent
abstract;abstrakcyjny
abstracted;roztargniony
abstractedly;roztargnieniem
abstracting;abstrahując
abstraction;abstrakcja
abstractions;abstrakcje
abstractly;abstrakcyjnie
abstracts;abstrakty
abstruse;zawiły
abstrusely;abstrusely
absurd;absurdalny
absurder;absurder
absurdest;absurdest
absurdist;absurdalnym
absurdities;ambaje
absurdity;absurdalność
absurdly;absurdalnie
abundance;obfitość
abundances;obfitość
abundant;obfity
abundantly;obfitości
abuse;nadużycie
abused;nadużywane
abuser;sprawca
abusers;nadużywających
abuses;nadużycia
abusing;nadużywa
abusive;obraźliwy
abusively;obelżywie
abusiveness;abusiveness
abut;opierać
abutment;przyczółek
abutments;łączniki
abutted;abutted
abutting;oporowym
abuzz;pełno
aby;aby
abysmal;bezdenny
abysmally;przepastnie
abyss;przepaść
abyssal;niezgłębiony
abysses;przepaście
acacia;akacja
academe;akademia
academia;akademickie
academic;akademicki
academical;akademicki
academically;akademicko
academician;akademicki
academicians;akademików
academics;akademicy
academies;akademie
academy;akademia
acanthus;akant
acapulco;acapulco
accede;przystąpić
acceded;przystąpiły
acceding;przystępując
accelerate;przyśpieszyć
accelerated;przyśpieszony
accelerates;przyspiesza
accelerating;przyspieszenie
acceleration;przyśpieszenie
accelerations;przyspieszenia
accelerator;akcelerator
accelerators;akceleratory
accelerometer;akcelerometr
accelerometers;akcelerometry
accent;akcent
accented;akcentowany
accenting;akcentując
accents;akcenty
accentuate;podkreślać
accentuated;zaakcentowana
accentuates;akcentuje
accentuating;akcentując
accentuation;akcentowanie
accept;zaakceptować
acceptability;dopuszczalność
acceptable;do przyjęcia
acceptably;akceptowalnie
acceptance;przyjęcie
acceptances;akceptacje
accepted;przyjęty
accepting;akceptując
acceptor;akceptor
acceptors;akceptujące
accepts;przyjmuje
access;dostęp
accessed;udostępniona
accesses;dostępy
accessibility;dostępność
accessible;dostępny
accessing;dostępu
accession;przystąpienie
accessions;przystąpienia
accessories;akcesoria
accessory;akcesorium
accidence;fleksja
accident;wypadek
accidental;przypadkowy
accidentally;przypadkowo
accidentprone;accidentprone
accidents;wypadki
acclaim;oklaskiwać
acclaimed;uznanym
acclaims;z uznaniem wita
acclamation;aklamacja
acclamations;aklamacje
acclimatisation;aklimatyzacja
acclimatise;aklimatyzować
acclimatised;aklimatyzacji
acclimatising;acclimatising
accolade;uznanie
accolades;wyróżnienia
accommodate;pomieścić
accommodated;zakwaterowane
accommodates;ilość miejsc noclegowych
accommodating;uprzejmy
accommodation;nocleg
accommodations;noclegi
accompanied;towarzyszyć
accompanies;towarzyszy
accompaniment;akompaniament
accompaniments;dodatkami
accompanist;akompaniator
accompany;towarzyszyć
accompanying;towarzyszący
accomplice;wspólnik
accomplices;wspólnicy
accomplish;ukończyć
accomplished;znakomity
accomplishes;realizuje
accomplishing;realizacji
accomplishment;osiągnięcie
accomplishments;osiągnięcia
accord;porozumienie
accordance;zgodność
accorded;przyznane
according;według
accordingly;odpowiednio
accordion;akordeon
accordionist;harmonista
accordions;akordeony
accords;akordy
accost;zaczepić
accosted;zaczepił
accosting;accosting
accosts;zaczepia
account;konto
accountability;odpowiedzialność
accountable;odpowiedzialny
accountancy;księgowość
accountant;księgowy
accountants;księgowych
accounted;stanowiły
accounting;rachunkowość
accounts;rachunki
accra;akra
accredit;akredytować
accreditation;akredytacja
accredited;akredytowanych
accrediting;akredytowanie
accredits;akredytuje
accreted;zrośnięty
accretion;przyrost
accretions;naleciałości
accrual;narzut
accruals;międzyokresowe
accrue;płynąć
accrued;narastająco
accrues;narastania
accruing;narosłe
accumulate;gromadzić
accumulated;zgromadzone
accumulates;akumulacyjne
accumulating;gromadzenie
accumulation;akumulacja
accumulations;nagromadzenie
accumulative;akumulacyjny
accumulator;akumulator
accumulators;akumulatory
accuracies;dokładności
accuracy;precyzja
accurate;dokładny
accurately;dokładnie
accursed;przeklęty
accusal;accusal
accusals;accusals
accusation;zarzut
accusations;oskarżenia
accusative;biernik
accusatory;oskarżycielski
accuse;oskarżać
accused;oskarżony
accuser;oskarżyciel
accusers;oskarżyciele
accuses;oskarża
accusing;zarzucając
accusingly;oskarżycielsko
accustom;przyzwyczaić
accustomed;przyzwyczajony
accustoming;przyzwyczajanie
ace;as
aced;aced
acentric;niecentryczną
acerbic;cierpki
acerbity;zgryźliwość
acers;acers
aces;asy
acetal;acetalu
acetate;octan
acetates;octany
acetic;octowy
acetone;aceton
acetylene;acetylen
ache;ból
ached;bolały
aches;bóle
achievable;osiągalny
achieve;osiągać
achieved;osiągnięty
achievement;osiągnięcie
achievements;osiągnięcia
achiever;zdobywca
achievers;osiągających
achieves;dokonuje
achieving;osiągnięcia
aching;zbolały
achingly;obolao
achings;achings
achromatic;achromatyczny
achy;achy
acid;kwas
acidic;kwaśny
acidification;zakwaszenie
acidified;zakwasza
acidify;zakwasić
acidifying;zakwaszające
acidity;kwasowość
acidly;kwaśno
acidophiles;acydofil
acidrain;kwaśny deszcz
acids;kwasy
acknowledge;uznać
acknowledged;potwierdzony
acknowledgement;potwierdzenie
acknowledgements;podziękowanie
acknowledges;przyznaje
acknowledging;uznając
acknowledgment;potwierdzenie
acknowledgments;podziękowanie
acme;kulminacja
acne;trądzik
acolyte;akolita
acolytes;akolitów
aconite;tojad
acorn;żołądź
acorns;żołędzie
acoustic;akustyczny
acoustical;akustyczny
acoustically;akustycznie
acoustics;akustyka
acquaint;zapoznać
acquaintance;znajomy
acquaintances;znajomych
acquainted;obeznany
acquainting;zapoznanie
acquaints;zapoznaje
acquiesce;zgodzić się
acquiesced;acquiesced
acquiescence;przyzwolenie
acquiescent;przychylny
acquiescing;acquiescing
acquire;nabyć
acquired;nabyty
acquirer;nabywca
acquirers;nabywców
acquires;nabywa
acquiring;nabywanie
acquisition;nabycie
acquisitions;przejęć
acquisitive;zachłanny
acquisitiveness;zachłanność
acquit;uniewinnić
acquited;acquited
acquites;acquites
acquits;acquits
acquittal;uniewinnienie
acquittals;uniewinnienia
acquittance;uiszczenie
acquitted;uniewinniony
acquitting;uniewinniający
acre;akr
acreage;areał
acres;włości
acrid;gryzący
acrimonious;zjadliwy
acrimoniously;uszczypliwie
acrimony;gorycz
acrobat;akrobata
acrobatic;akrobatyczny
acrobatics;akrobatyka
acrobats;akrobaci
acronym;akronim
acronyms;akronimy
across;przez
acrostic;akrostych
acrostics;acrostics
acrylic;akryl
acrylics;akryle
act;akt
acted;działał
acting;gra aktorska
actings;actings
actinides;aktynowców
action;akcja
actionable;zaskarżalny
actions;działania
activate;aktywuj
activated;aktywowany
activates;aktywuje
activating;aktywującą
activation;aktywacja
activations;aktywacje
activator;aktywator
activators;aktywatory
active;aktywny
actively;aktywnie
actives;czynne
activism;aktywizm
activist;aktywista
activists;aktywiści
activities;zajęcia
activity;czynność
actor;aktor
actors;aktorzy
actress;aktorka
actresses;aktorki
acts;dzieje
actual;rzeczywisty
actualisation;aktualizacja
actualise;aktualizować
actualised;uaktualnionej
actualities;aktualności
actuality;rzeczywistość
actually;tak właściwie
actuarial;aktuarialna
actuaries;aktuariuszy
actuary;specjalista od ubezpieczeń
actuate;dynamizować
actuated;sterowany
actuates;uruchamia
actuating;uruchamiający
actuation;uruchamiający
actuator;uruchamiacz
actuators;siłowniki
acuity;ostrość
acumen;bystrość
acupuncture;akupunktura
acupuncturist;specjalista od akupunktury
acupuncturists;acupuncturists
acute;ostry
acutely;przenikliwie
acuteness;intensywność
acuter;acuter
acutest;acutest
acyclic;acykliczny
adage;powiedzenie
adages;adages
adagio;adagio
adam;adam
adamant;nieugięty
adamantly;stanowczo
adapt;przystosować się
adaptability;zdolność adaptacji
adaptable;dający się przystosować
adaptation;dostosowanie
adaptations;adaptacje
adapted;przystosowany
adapter;adapter
adapters;adaptery
adapting;dostosowująca
adaptive;adaptacyjny
adaptively;adaptacyjnie
adaptivity;zdolność do adaptacji
adaptor;adapter
adaptors;adaptery
adapts;dostosowuje
add;dodaj
added;dodany
addenda;załączniki
addendum;uzupełnienie
adder;sumator
adders;sumatory
addict;nałogowiec
addicted;uzależniony
addiction;uzależnienie
addictions;uzależnienia
addictive;wciągający
addictiveness;uzależniające
addicts;uzależnionych
adding;dodawanie
addition;dodanie
additional;dodatkowy
additionally;dodatkowo
additions;wzbogacenie
additive;przyłączeniowy
additively;addytywnie
additives;dodatki
addle;zepsuć
addled;addled
addles;addles
addling;addling
address;adres
addressability;adresowalność
addressable;adresowalnych
addressed;zaadresowany
addressee;adresat
addressees;adresatami
addresses;adresy
addressing;adresowanie
adds;dodaje
adduce;powołać się
adduced;przytoczone
adduces;przytacza
adducing;przytaczając
adelaide;adelaida
aden;aden
adenine;adenina
adenoid;adenoid
adenoids;adenoidy
adenoma;gruczolak
adenomas;gruczolaki
adept;adept
adepts;adepci
adequacy;adekwatność
adequate;odpowiedni
adequately;odpowiednio
adhere;przylegać
adhered;przestrzegać
adherence;przyczepność
adherent;przylegający
adherents;zwolennicy
adherer;wyznawca
adherers;wyznawcy
adheres;przylega
adhering;przylegającą
adhesion;przyczepność
adhesions;zrosty
adhesive;spoiwo
adhesiveness;przyczepność
adhesives;kleje
adhoc;adhoc
adiabatic;adiabatyczne
adiabatically;adiabatycznego
adieu;adieu
adieus;adieus
adieux;adieux
adios;adios
adipose;tłuszczowy
adit;sztolnia
adjacency;przyleganie
adjacent;sąsiadujący
adjacently;przylegle
adjectival;przymiotnikowy
adjective;przymiotnik
adjectives;przymiotniki
adjoin;przyłączać
adjoined;adjoined
adjoining;przylegający
adjoins;sąsiaduje
adjourn;zawiesić
adjourned;odroczona
adjourning;odroczenia
adjournment;odroczenie
adjourns;zawiesza
adjudge;rozstrzygać
adjudged;uznano
adjudges;adjudges
adjudicate;orzec
adjudicated;rozstrzygnięty
adjudicates;orzeka
adjudicating;orzekający
adjudication;wyrok
adjudications;werdyktów
adjudicator;arbiter
adjudicators;prowadzące postępowania
adjunct;dodatek
adjuncts;adiunktów
adjure;zakląć
adjust;dostosować
adjustable;nastawny
adjusted;skorygowana
adjuster;nastawiacz
adjusting;naregulowanie
adjustment;dostosowanie
adjustments;korekty
adjusts;reguluje
adjutant;adiutant
adlib;adlib
adlibs;improwizacja
adman;adman
admen;admen
admin;administrator
administer;administrować
administered;podawać
administering;administrowanie
administers;administruje
administrate;zarządzać
administrated;administrowana
administrating;administrowanie
administration;administracja
administrations;administracje
administrative;administracyjny
administratively;administracyjnym
administrator;administrator
administrators;administratorzy
admirable;zachwycający
admirably;koncertowo
admiral;admirał
admirals;admirałowie
admiration;podziw
admire;podziwiać
admired;podziwianych
admirer;wielbiciel
admirers;wielbiciele
admires;podziwia
admiring;podziwu
admiringly;podziwem
admissibility;dopuszczalność
admissible;dopuszczalny
admission;wstęp
admissions;przyjęć
admit;przyznać
admits;przyznaje
admittance;wstęp
admittances;admittances
admitted;przyznał
admittedly;wprawdzie
admitting;przyznając
admix;pomieszać
admixture;domieszka
admonish;napominać
admonished;upomniał
admonishes;napomina
admonishing;upominając
admonishment;napomnienie
admonition;napomnienie
admonitions;napomnienia
admonitory;upominawczym
ado;korowody
adobe;cegła suszona na słońcu
adolescence;adolescencja
adolescent;dorastający
adolescents;młodzież
adonis;adonis
adopt;przyjąć
adopted;przyjęty
adopter;złodziej
adopting;przyjmując
adoption;przyjęcie
adoptions;adopcje
adoptive;przybrany
adopts;przyjmuje
adorable;godny podziwu
adorably;adorably
adoration;adoracja
adore;adorować
adored;uwielbiana
adorer;adorer
adorers;asc
adores;adoruje
adoring;adorując
adoringly;adoringly
adorn;zdobić
adorned;strojny
adorning;adorning
adornment;ozdoba
adornments;ozdoby
adorns;ozdabia
adrenal;nadnerkowy
adrenalin;adrenalina
adrenaline;adrenalina
adrift;dryfujący
adroit;zręczny
adroitly;udatnie
adroitness;zręczność
adsorb;adsorbować
adsorbed;adsorbowane
adsorption;adsorpcja
adulation;schlebianie
adulatory;pochlebczy
adult;dorosły
adulterate;fałszować
adulterated;zafałszowane
adulterates;adulterates
adulterating;adulterating
adulteration;fałszerstwo
adulterations;zafałszowania
adulterer;cudzołożnik
adulterers;cudzołożnicy
adulteress;cudzołożnica
adulteresses;cudzołożyły
adulterous;cudzołożny
adultery;cudzołóstwo
adulthood;wiek dojrzały
adults;dorośli ludzie
adumbrate;zapowiadać
adumbrated;naszkicowana
adumbrating;adumbrating
advance;postęp
advanced;zaawansowane
advancement;postęp
advancements;postęp
advancer;advancer
advances;postęp
advancing;pogłębianie
advantage;korzyść
advantaged;uprzywilejowanych
advantageous;korzystny
advantageously;korzystnie
advantages;zalety
advent;adwent
advents;przyjścia
adventure;przygoda
adventured;adventured
adventurer;poszukiwacz przygód
adventurers;awanturnicy
adventures;przygody
adventuring;adventuring
adventurism;awanturnictwo
adventurous;ryzykowny
adventurously;awanturniczo
adverb;przysłówek
adverbial;przysłówkowy
adverbs;przysłówki
adversarial;kontradyktoryjności
adversaries;przeciwnicy
adversary;przeciwnik
adverse;niekorzystny
adversely;negatywnie
adversities;przeciwności
adversity;nieszczęście
advert;ogłoszenie
adverted;adverted
advertise;reklamować
advertised;reklamowane
advertisement;reklama
advertisements;ogłoszenie
advertiser;człowiek ogłaszający
advertisers;reklamodawców
advertises;reklamuje
advertising;reklama
adverts;ogłoszenia
advice;rada
advices;porady
advisability;celowość
advisable;wskazany
advise;doradzać
advised;rozmyślny
advisedly;roztropnie
adviser;doradca
advisers;doradcy
advises;doradza
advising;doradzanie
advisory;doradczy
advocacy;rzecznictwo
advocate;rzecznik
advocated;zalecał
advocates;zwolennicy
advocating;propagowanie
adze;topór
aegean;egejski
aegina;egina
aegis;egida
aeolian;eoliczny
aeon;eon
aeons;eony
aerate;wietrzyć
aerated;gazowany
aerates;napowietrza
aerating;napowietrzania
aeration;napowietrzanie
aerator;aerator
aerial;antenowy
aerially;aerially
aerials;anteny
aerify;aerify
aerobatic;akrobacyjne
aerobatics;ewolucje
aerobe;tlenowiec
aerobes;tlenowe
aerobic;aerobik
aerobically;tlenowej
aerobics;aerobik
aerobraking;aerohamowania
aerodrome;lotnisko
aerodromes;lotnisk
aerodynamic;aerodynamiczny
aerodynamically;aerodynamicznie
aerodynamics;aerodynamika
aerofoil;skrzydło samolotu
aerofoils;aerofoils
aeronaut;aeronauta
aeronautic;aeronautic
aeronautical;aeronautyki
aeronautics;aeronautyka
aeroplane;samolot
aeroplanes;samoloty
aerosol;aerosol
aerosols;aerozole
aerospace;aerospace
aesop;ezop
aesthete;esteta
aesthetes;estetów
aesthetic;estetyczny
aesthetically;estetycznie
aestheticism;estetyzm
aestheticsy;aestheticsy
afar;daleko
affability;uprzejmość
affable;uprzejmy
affably;mile
affair;sprawa
affairs;sprawy
affect;wpłynąć
affectation;sztuczność
affectations;affectations
affected;afektowany
affectedly;afektowanie
affecting;wpływający
affection;tkliwość
affectionate;czuły
affectionately;pieszczotliwie
affections;uczucia
affective;afektywne
affects;ma wpływ
afferent;dośrodkowy
affidavit;oświadczenie złożone pod przysięgą
affidavits;oświadczenia pod przysięgą
affiliate;przyłączać
affiliated;stowarzyszona
affiliates;stowarzyszone
affiliating;stowarzyszenie
affiliation;przynależność
affiliations;afiliacje
affine;affine
affinities;powinowactwo
affinity;powinowactwo
affirm;potwierdzać
affirmation;afirmacja
affirmations;afirmacje
affirmative;twierdzący
affirmatively;afirmatywnie
affirmed;potwierdzone
affirming;potwierdzając
affirms;potwierdził
affix;afiks
affixed;przymocowanej
affixes;afiksów
affixing;umieszczanie
afflict;dotknąć
afflicted;cierpiący
afflicting;trapiący
affliction;cierpienie
afflictions;uciski
afflicts;afflicts
affluence;zamożność
affluent;zamożny
afflux;napływ
afford;pozwolić sobie
affordability;przystępna cena
affordable;niedrogie
afforded;otrzymano
affording;zapewniającym
affords;otrzymuje się ester
afforestation;zalesienie
afforested;zalesionej
affray;awantura
affront;afront
affronted;affronted
affronts;zniewagi
afghan;afgański
afghani;afgańska
afghans;afgańczycy
afield;w polu
afire;ogień
aflame;rozpalony
afloat;na morzu
afoot;pieszo
aforementioned;wyżej wymieniony
aforesaid;wyżej wymieniony
aforethought;ukartowany
afraid;przestraszony
afresh;na nowo
africa;afryka
african;afrykanin
africans;afrykanie
afro;afro
afros;afros
aft;na rufie
after;po
afterbirth;po urodzeniu
aftercare;opieka postpenitencjarna
aftereffect;aftereffect
aftereffects;po efektach
afterglow;poświata
afterlife;życie pozagrobowe
afterlives;życie doczesne
aftermath;następstwa
afternoon;popołudnie
afternoons;popołudnia
aftershave;płyn po goleniu
aftershocks;aftershocks
aftertaste;posmak
afterthought;refleksja
afterthoughts;refleksje
afterward;później
afterwards;potem
aga;aga
again;jeszcze raz
against;przeciwko
agakhan;agakhan
agape;agapa
agar;agar
agaragar;agar agar
agave;agawa
agaves;agawy
age;wiek
aged;w wieku
ageing;starzenie się
ageings;ageings
ageism;ageism
ageless;ageless
agencies;oddziały
agency;agencja
agenda;program
agendas;porządki
agendums;agendums
agent;agent
agents;środki
ageold;ageold
ages;wieczność
agglomerated;aglomerowany
agglomerating;aglomerowania
agglomeration;aglomeracja
agglomerations;aglomeracje
agglutinative;aglutynacyjny
aggravate;pogarszać
aggravated;pogarsza
aggravates;pogłębia
aggravating;obciążający
aggravation;pogorszenie
aggravations;zaostrzeń
aggregate;agregat
aggregated;agregowane
aggregates;kruszywa
aggregating;agregowanie
aggregation;zbiór
aggregations;agregacje
aggression;agresja
aggressions;agresje
aggressive;agresywny
aggressively;agresywnie
aggressiveness;agresywność
aggressor;agresor
aggressors;agresorami
aggrieved;pokrzywdzony
aggrievedly;aggrievedly
aghast;przerażony
agile;zwinny
agiler;agiler
agility;zwinność
aging;starzenie się
agings;agings
agio;ażio
agitate;mieszać
agitated;poruszony
agitatedly;nerwowo
agitates;agitates
agitating;emocjonujący
agitation;podniecenie
agitations;agitations
agitator;mieszadło
agitators;mieszadła
agitprop;agitprop
agleam;błyszczący
aglow;płonący
agnostic;agnostyk
agnosticism;agnostycyzm
agnostics;agnostycy
ago;temu
agog;w napięciu
agonies;męki
agonise;męczyć
agonised;konające
agonises;agonises
agonising;bolesny
agonisingly;boleśnie
agonist;agonista
agonists;agonistów
agony;agonia
agora;agora
agoraphobia;agorafobia
agoraphobic;agorafobię
agouti;agouti
agrarian;rolny
agree;zgodzić się
agreeable;przyjemny
agreeableness;ugodowości
agreeably;przyjemnie
agreed;zgoda
agreeing;zgadzając
agreement;umowa
agreements;umowy
agrees;zgadza
agribusiness;agrobiznes
agricultural;rolniczy
agriculturalist;agriculturalist
agriculturalists;rolnicy
agriculturally;rolniczo
agriculture;rolnictwo
agrimony;rzepik
agrochemical;agrochemiczny
agrochemicals;agrochemicznych
agronomist;agronom
agronomists;agronomów
agronomy;agronomia
aground;na mieliźnie
ague;zimnica
ah;ah
aha;aha
ahead;przed siebie
ahem;hm
ahoy;ahoj
aid;pomoc
aide;aide
aided;wspomagane
aidedecamp;aidedecamp
aider;aider
aiders;ratunkowego
aides;pomocnicy
aidesdecamp;aidesdecamp
aiding;wspomaganie
aids;aids
ail;chorować
aileron;lotka
ailerons;lotki
ailing;schorowany
ailment;dolegliwość
ailments;dolegliwości
ails;dolega
aim;cel
aimed;skierowany
aimer;aimer
aiming;cel
aimless;bezcelowy
aimlessly;bez celu
aimlessness;bezcelowość
aims;celuje
aint;aint
air;powietrze
airbase;baza lotnicza
airborne;samolotowy
airbrush;natryskiwacz
airbus;airbus
airconditioned;klimatyzowane
airconditioner;klimatyzator
airconditioning;klimatyzacja
aircraft;samolot
aircrew;załoga powietrzna
aircrews;załóg
aire;aire
aired;na antenie
airfield;lotnisko
airfields;lotnisk
airflow;przepływ powietrza
airforce;siły powietrzne
airframe;płatowiec
airframes;płatowce
airgun;wiatrówka
airier;airier
airiest;airiest
airily;beztrosko
airiness;eteryczność
airing;wietrzenie
airings;przewietrzenia
airless;duszny
airlift;most lotniczy
airlifted;airlifted
airlifting;drogą powietrzną
airlifts;airlifts
airline;linia lotnicza
airliner;samolot
airliners;samoloty
airlines;linie lotnicze
airlock;śluza
airlocks;śluzy
airmail;poczta lotnicza
airman;lotnik
airmen;lotnicy
airplane;samolot
airplay;airplay
airport;lotnisko
airports;lotniska
airraid;atak bombowy
airs;airs
airship;sterowiec
airships;sterowce
airsick;airsick
airsickness;airsickness
airspace;kubatura
airstream;airstream
airstrip;lądowisko
airstrips;lądowisk
airtight;hermetyczny
airtime;bezprzewodowych
airwave;airwave
airwaves;fale powietrzne
airway;drogi oddechowe
airways;linia
airworthiness;zdatności do lotu
airworthy;sprawny
airy;przewiewny
aisle;przejście
aisles;nawy
aitches;aitches
ajar;uchylony
akimbo;pod boki
akin;pokrewny
ala;ala
alabama;alabama
alabaster;alabaster
alacarte;alacarte
alack;brak
alacrity;skwapliwość
aladdin;aladdin
alanine;alaninowej
alarm;alarm
alarmed;zaniepokojony
alarming;alarmujące
alarmingly;alarmująco
alarmism;panikarstwo
alarmist;alarmista
alarms;alarmy
alas;niestety
alaska;alaska
alaskan;alaskan
alb;alba
albania;albania
albany;albany
albatross;albatros
albatrosses;albatrosy
albeit;aczkolwiek
albinism;bielactwo
albino;albinos
album;album
albumen;białko
albumin;albumina
albums;albumy
alchemical;alchemiczny
alchemist;alchemik
alchemists;alchemicy
alchemy;alchemia
alcohol;alkohol
alcoholic;alkoholowy
alcoholics;alkoholików
alcoholism;alkoholizm
alcohols;alkohole
alcove;alkierz
alcoves;wnęk
aldehyde;aldehyd
aldehydes;aldehydy
alder;olcha
alderman;radny miejski
aldermen;radni
aldrin;aldrin
ale;ale
alehouse;piwiarnia
alembic;alembik
alert;alarm
alerted;zaalarmowana
alerting;alarmowanie
alertly;czujnie
alertness;czujność
alerts;alarmy
ales;ales
alfalfa;lucerna
alfatah;alfatah
alga;alga
algae;glony
algal;glonów
algebra;algebra
algebraic;algebraiczny
algebraical;algebraiczny
algebraically;algebraicznie
algebraist;algebraik
algebras;algebry
algeria;algieria
algerian;algierski
algiers;algier
algorithm;algorytm
algorithmic;algorytmiczne
algorithmically;algorytmicznie
algorithms;algorytmy
alias;alias
aliases;skróty
alibaba;alibaba
alibi;alibi
alibis;alibi
alien;obcy
alienate;zrazić
alienated;wyobcowani
alienates;alienuje
alienating;alienacji
alienation;alienacja
aliened;aliened
aliening;aliening
aliens;obcy
alight;wysiadać
alighted;wysiadł
alighting;desant
alights;alights
align;wyrównać
aligned;wyrównany
aligning;justowanie
alignment;wyrównanie
alignments;wyrównania
aligns;wyrównuje
alike;zarówno
alimentary;pokarmowy
alimony;alimenty
aline;aline
alined;alined
alines;alines
alining;alining
aliphatic;alifatyczny
aliquot;podwielokrotność
aliquots;porcje
alive;żywy
alkali;alkalia
alkalic;zasadowej
alkaline;alkaliczny
alkalinity;zasadowość
alkalis;ługi
alkalise;alkalise
alkaloid;alkaloid
alkaloids;alkaloidy
alkanes;alkany
alkyl;alkilową
all;wszystko
allay;uspokajać
allayed;rozwiane
allaying;allaying
allays;allays
allegation;zarzut
allegations;zarzuty
allege;twierdzić
alleged;rzekomy
allegedly;rzekomo
alleges;twierdzi
allegiance;wierność
allegiances;lojalność
alleging;opartego na
allegorical;alegoryczny
allegorically;alegorycznie
allegories;alegorie
allegory;alegoria
allegri;allegri
allegro;allegro
allele;allel
alleles;allele
allelic;alleliczny
allergen;alergen
allergens;alergeny
